ID,Producto/ID externo,Nombre,Se puede vender,Se puede comprar,detailed_type,Política de facturación,Unidad de medida/ID externo,Categoria de la unidad de medida (No Importar),Unidad de medida (No Importar),UdM de compra/ID externo,UdM de compra (No Importar),Categoría del producto/ID externo,seller_ids/id,Proveedores/Proveedor,Proveedores/Divisa,Proveedores/Cantidad,Proveedores/Plazo de entrega,Proveedores/Precio
__export__.product_template_papel_coteado_mate_130gr_66x96cm,__export__.product_product_papel_coteado_mate_130gr_66x96cm,Papel Coteado Mate 130gr. 66x96cm,FALSE,TRUE,Almacenable,Cantidades pedidas,__export__.uom_uom_hojas_hoja,Hojas,Hoja,__export__.uom_uom_hojas_paquete_de_250_hojas,Paquete de 250 Hojas,__export__.product_category_materia_prima_papel,__export__.product_supplierinfo_papel_coteado_mate_130gr_66x96cm_sammel_sa_1,SAMMEL SA,USD,1,1,29.8750
__export__.product_template_papel_coteado_mate_130gr_72x102cm,__export__.product_product_papel_coteado_mate_130gr_72x102cm,Papel Coteado Mate 130gr. 72x102cm,FALSE,TRUE,Almacenable,Cantidades pedidas,__export__.uom_uom_hojas_hoja,Hojas,Hoja,__export__.uom_uom_hojas_paquete_de_250_hojas,Paquete de 250 Hojas,__export__.product_category_materia_prima_papel,__export__.product_supplierinfo_papel_coteado_mate_130gr_72x102cm_sammel_sa_1,SAMMEL SA,USD,1,1,34.6250
__export__.product_template_papel_coteado_mate_130gr_70x100cm,__export__.product_product_papel_coteado_mate_130gr_70x100cm,Papel Coteado Mate 130gr. 70x100cm,FALSE,TRUE,Almacenable,Cantidades pedidas,__export__.uom_uom_hojas_hoja,Hojas,Hoja,__export__.uom_uom_hojas_paquete_de_250_hojas,Paquete de 250 Hojas,__export__.product_category_materia_prima_papel,__export__.product_supplierinfo_papel_coteado_mate_130gr_70x100cm_sammel_sa_1,SAMMEL SA,USD,1,1,33.0000
__export__.product_template_papel_coteado_mate_130gr_82x118cm,__export__.product_product_papel_coteado_mate_130gr_82x118cm,Papel Coteado Mate 130gr. 82x118cm,FALSE,TRUE,Almacenable,Cantidades pedidas,__export__.uom_uom_hojas_hoja,Hojas,Hoja,__export__.uom_uom_hojas_paquete_de_250_hojas,Paquete de 250 Hojas,__export__.product_category_materia_prima_papel,__export__.product_supplierinfo_papel_coteado_mate_130gr_82x118cm_sammel_sa_1,SAMMEL SA,USD,1,1,45.6250
__export__.product_template_papel_coteado_mate_150gr_66x96cm,__export__.product_product_papel_coteado_mate_150gr_66x96cm,Papel Coteado Mate 150gr. 66x96cm,FALSE,TRUE,Almacenable,Cantidades pedidas,__export__.uom_uom_hojas_hoja,Hojas,Hoja,__export__.uom_uom_hojas_paquete_de_250_hojas,Paquete de 250 Hojas,__export__.product_category_materia_prima_papel,__export__.product_supplierinfo_papel_coteado_mate_150gr_66x96cm_sammel_sa_1,SAMMEL SA,USD,1,1,34.4750
__export__.product_template_papel_coteado_mate_150gr_72x102cm,__export__.product_product_papel_coteado_mate_150gr_72x102cm,Papel Coteado Mate 150gr. 72x102cm,FALSE,TRUE,Almacenable,Cantidades pedidas,__export__.uom_uom_hojas_hoja,Hojas,Hoja,__export__.uom_uom_hojas_paquete_de_250_hojas,Paquete de 250 Hojas,__export__.product_category_materia_prima_papel,__export__.product_supplierinfo_papel_coteado_mate_150gr_72x102cm_sammel_sa_1,SAMMEL SA,USD,1,1,39.9500
__export__.product_template_papel_coteado_mate_150gr_70x100cm,__export__.product_product_papel_coteado_mate_150gr_70x100cm,Papel Coteado Mate 150gr. 70x100cm,FALSE,TRUE,Almacenable,Cantidades pedidas,__export__.uom_uom_hojas_hoja,Hojas,Hoja,__export__.uom_uom_hojas_paquete_de_250_hojas,Paquete de 250 Hojas,__export__.product_category_materia_prima_papel,__export__.product_supplierinfo_papel_coteado_mate_150gr_70x100cm_sammel_sa_1,SAMMEL SA,USD,1,1,38.1000
__export__.product_template_papel_coteado_mate_150gr_82x118cm,__export__.product_product_papel_coteado_mate_150gr_82x118cm,Papel Coteado Mate 150gr. 82x118cm,FALSE,TRUE,Almacenable,Cantidades pedidas,__export__.uom_uom_hojas_hoja,Hojas,Hoja,__export__.uom_uom_hojas_paquete_de_250_hojas,Paquete de 250 Hojas,__export__.product_category_materia_prima_papel,__export__.product_supplierinfo_papel_coteado_mate_150gr_82x118cm_sammel_sa_1,SAMMEL SA,USD,1,1,52.6500
__export__.product_template_papel_coteado_mate_170gr_66x96cm,__export__.product_product_papel_coteado_mate_170gr_66x96cm,Papel Coteado Mate 170gr. 66x96cm,FALSE,TRUE,Almacenable,Cantidades pedidas,__export__.uom_uom_hojas_hoja,Hojas,Hoja,__export__.uom_uom_hojas_paquete_de_125_hojas,Paquete de 125 Hojas,__export__.product_category_materia_prima_papel,__export__.product_supplierinfo_papel_coteado_mate_170gr_66x96cm_sammel_sa_1,SAMMEL SA,USD,1,1,19.5375
__export__.product_template_papel_coteado_mate_170gr_72x102cm,__export__.product_product_papel_coteado_mate_170gr_72x102cm,Papel Coteado Mate 170gr. 72x102cm,FALSE,TRUE,Almacenable,Cantidades pedidas,__export__.uom_uom_hojas_hoja,Hojas,Hoja,__export__.uom_uom_hojas_paquete_de_125_hojas,Paquete de 125 Hojas,__export__.product_category_materia_prima_papel,__export__.product_supplierinfo_papel_coteado_mate_170gr_72x102cm_sammel_sa_1,SAMMEL SA,USD,1,1,22.6500
__export__.product_template_papel_coteado_mate_170gr_70x100cm,__export__.product_product_papel_coteado_mate_170gr_70x100cm,Papel Coteado Mate 170gr. 70x100cm,FALSE,TRUE,Almacenable,Cantidades pedidas,__export__.uom_uom_hojas_hoja,Hojas,Hoja,__export__.uom_uom_hojas_paquete_de_125_hojas,Paquete de 125 Hojas,__export__.product_category_materia_prima_papel,__export__.product_supplierinfo_papel_coteado_mate_170gr_70x100cm_sammel_sa_1,SAMMEL SA,USD,1,1,21.5875
__export__.product_template_papel_coteado_mate_170gr_82x118cm,__export__.product_product_papel_coteado_mate_170gr_82x118cm,Papel Coteado Mate 170gr. 82x118cm,FALSE,TRUE,Almacenable,Cantidades pedidas,__export__.uom_uom_hojas_hoja,Hojas,Hoja,__export__.uom_uom_hojas_paquete_de_125_hojas,Paquete de 125 Hojas,__export__.product_category_materia_prima_papel,__export__.product_supplierinfo_papel_coteado_mate_170gr_82x118cm_sammel_sa_1,SAMMEL SA,USD,1,1,29.8375
__export__.product_template_papel_coteado_mate_200gr_66x96cm,__export__.product_product_papel_coteado_mate_200gr_66x96cm,Papel Coteado Mate 200gr. 66x96cm,FALSE,TRUE,Almacenable,Cantidades pedidas,__export__.uom_uom_hojas_hoja,Hojas,Hoja,__export__.uom_uom_hojas_paquete_de_125_hojas,Paquete de 125 Hojas,__export__.product_category_materia_prima_papel,__export__.product_supplierinfo_papel_coteado_mate_200gr_66x96cm_sammel_sa_1,SAMMEL SA,USD,1,1,22.9875
__export__.product_template_papel_coteado_mate_200gr_72x102cm,__export__.product_product_papel_coteado_mate_200gr_72x102cm,Papel Coteado Mate 200gr. 72x102cm,FALSE,TRUE,Almacenable,Cantidades pedidas,__export__.uom_uom_hojas_hoja,Hojas,Hoja,__export__.uom_uom_hojas_paquete_de_125_hojas,Paquete de 125 Hojas,__export__.product_category_materia_prima_papel,__export__.product_supplierinfo_papel_coteado_mate_200gr_72x102cm_sammel_sa_1,SAMMEL SA,USD,1,1,26.6375
__export__.product_template_papel_coteado_mate_200gr_70x100cm,__export__.product_product_papel_coteado_mate_200gr_70x100cm,Papel Coteado Mate 200gr. 70x100cm,FALSE,TRUE,Almacenable,Cantidades pedidas,__export__.uom_uom_hojas_hoja,Hojas,Hoja,__export__.uom_uom_hojas_paquete_de_125_hojas,Paquete de 125 Hojas,__export__.product_category_materia_prima_papel,__export__.product_supplierinfo_papel_coteado_mate_200gr_70x100cm_sammel_sa_1,SAMMEL SA,USD,1,1,25.3875
__export__.product_template_papel_coteado_mate_200gr_82x118cm,__export__.product_product_papel_coteado_mate_200gr_82x118cm,Papel Coteado Mate 200gr. 82x118cm,FALSE,TRUE,Almacenable,Cantidades pedidas,__export__.uom_uom_hojas_hoja,Hojas,Hoja,__export__.uom_uom_hojas_paquete_de_125_hojas,Paquete de 125 Hojas,__export__.product_category_materia_prima_papel,__export__.product_supplierinfo_papel_coteado_mate_200gr_82x118cm_sammel_sa_1,SAMMEL SA,USD,1,1,35.1000
__export__.product_template_papel_coteado_mate_250gr_66x96cm,__export__.product_product_papel_coteado_mate_250gr_66x96cm,Papel Coteado Mate 250gr. 66x96cm,FALSE,TRUE,Almacenable,Cantidades pedidas,__export__.uom_uom_hojas_hoja,Hojas,Hoja,__export__.uom_uom_hojas_paquete_de_125_hojas,Paquete de 125 Hojas,__export__.product_category_materia_prima_papel,__export__.product_supplierinfo_papel_coteado_mate_250gr_66x96cm_sammel_sa_1,SAMMEL SA,USD,1,1,28.7250
__export__.product_template_papel_coteado_mate_250gr_72x102cm,__export__.product_product_papel_coteado_mate_250gr_72x102cm,Papel Coteado Mate 250gr. 72x102cm,FALSE,TRUE,Almacenable,Cantidades pedidas,__export__.uom_uom_hojas_hoja,Hojas,Hoja,__export__.uom_uom_hojas_paquete_de_125_hojas,Paquete de 125 Hojas,__export__.product_category_materia_prima_papel,__export__.product_supplierinfo_papel_coteado_mate_250gr_72x102cm_sammel_sa_1,SAMMEL SA,USD,1,1,33.3000
__export__.product_template_papel_coteado_mate_250gr_70x100cm,__export__.product_product_papel_coteado_mate_250gr_70x100cm,Papel Coteado Mate 250gr. 70x100cm,FALSE,TRUE,Almacenable,Cantidades pedidas,__export__.uom_uom_hojas_hoja,Hojas,Hoja,__export__.uom_uom_hojas_paquete_de_125_hojas,Paquete de 125 Hojas,__export__.product_category_materia_prima_papel,__export__.product_supplierinfo_papel_coteado_mate_250gr_70x100cm_sammel_sa_1,SAMMEL SA,USD,1,1,31.7375
__export__.product_template_papel_coteado_mate_250gr_82x118cm,__export__.product_product_papel_coteado_mate_250gr_82x118cm,Papel Coteado Mate 250gr. 82x118cm,FALSE,TRUE,Almacenable,Cantidades pedidas,__export__.uom_uom_hojas_hoja,Hojas,Hoja,__export__.uom_uom_hojas_paquete_de_125_hojas,Paquete de 125 Hojas,__export__.product_category_materia_prima_papel,__export__.product_supplierinfo_papel_coteado_mate_250gr_82x118cm_sammel_sa_1,SAMMEL SA,USD,1,1,43.8750
__export__.product_template_papel_coteado_mate_300gr_66x96cm,__export__.product_product_papel_coteado_mate_300gr_66x96cm,Papel Coteado Mate 300gr. 66x96cm,FALSE,TRUE,Almacenable,Cantidades pedidas,__export__.uom_uom_hojas_hoja,Hojas,Hoja,__export__.uom_uom_hojas_paquete_de_125_hojas,Paquete de 125 Hojas,__export__.product_category_materia_prima_papel,__export__.product_supplierinfo_papel_coteado_mate_300gr_66x96cm_sammel_sa_1,SAMMEL SA,USD,1,1,34.4750
__export__.product_template_papel_coteado_mate_300gr_72x102cm,__export__.product_product_papel_coteado_mate_300gr_72x102cm,Papel Coteado Mate 300gr. 72x102cm,FALSE,TRUE,Almacenable,Cantidades pedidas,__export__.uom_uom_hojas_hoja,Hojas,Hoja,__export__.uom_uom_hojas_paquete_de_125_hojas,Paquete de 125 Hojas,__export__.product_category_materia_prima_papel,__export__.product_supplierinfo_papel_coteado_mate_300gr_72x102cm_sammel_sa_1,SAMMEL SA,USD,1,1,39.9625
__export__.product_template_papel_coteado_mate_300gr_70x100cm,__export__.product_product_papel_coteado_mate_300gr_70x100cm,Papel Coteado Mate 300gr. 70x100cm,FALSE,TRUE,Almacenable,Cantidades pedidas,__export__.uom_uom_hojas_hoja,Hojas,Hoja,__export__.uom_uom_hojas_paquete_de_125_hojas,Paquete de 125 Hojas,__export__.product_category_materia_prima_papel,__export__.product_supplierinfo_papel_coteado_mate_300gr_70x100cm_sammel_sa_1,SAMMEL SA,USD,1,1,38.0875
__export__.product_template_papel_coteado_mate_300gr_82x118cm,__export__.product_product_papel_coteado_mate_300gr_82x118cm,Papel Coteado Mate 300gr. 82x118cm,FALSE,TRUE,Almacenable,Cantidades pedidas,__export__.uom_uom_hojas_hoja,Hojas,Hoja,__export__.uom_uom_hojas_paquete_de_125_hojas,Paquete de 125 Hojas,__export__.product_category_materia_prima_papel,__export__.product_supplierinfo_papel_coteado_mate_300gr_82x118cm_sammel_sa_1,SAMMEL SA,USD,1,1,52.6500
